model_name,overall_dataset_auc,mean,std,max,min,range,gini_coefficient,average_auc,eawi_alpha_10,eawi_alpha_20,eawi_alpha_30
gru_td0.0,0.7839484731655506,0.6489363861062935,0.19744730830770996,1.0,0.0,1.0,0.16496104040802595,0.6489363861062935,0.5418871646955749,0.4524968942236375,0.37785253577110584
gru_td0.1,0.7822174960982722,0.6464163097450631,0.1972610238875506,1.0,0.0,1.0,0.16568767084291713,0.6464163097450631,0.5393130969885299,0.44995556609342013,0.37540347636459515
gru_td0.01,0.7839195915123254,0.6490939878765868,0.19783742316654565,1.0,0.0,1.0,0.16530141383879135,0.6490939878765868,0.5417978339663276,0.45223788599689896,0.3774823240501454
gru_td0.2,0.7854128563122805,0.6502937071197653,0.19506512830694228,1.0,0.0,1.0,0.1626273571220678,0.6502937071197653,0.5445381601777659,0.4559813583359426,0.38182631513283777
gru_td0.5,0.7856440645170244,0.6526505838895119,0.19473799171444553,1.0,0.0,1.0,0.1620164501712573,0.6526505838895119,0.5469104530855348,0.45830196291506253,0.38404950577704483
gru_td0.05,0.7849151242238188,0.6494401600417246,0.1949610873558033,1.0,0.0,1.0,0.16285770800473934,0.6494401600417246,0.5436738240910982,0.4551323511974501,0.3810105396426253
gru_td0.7,0.7853715590759359,0.653531646306232,0.19441489151558503,1.0,0.0,1.0,0.1614916109077309,0.653531646306232,0.5479917679650571,0.4594956945922046,0.38529099466734273
gru_td0.075,0.7836089035378677,0.6500770411094303,0.19538519729510154,1.0,0.0,1.0,0.16297433507917194,0.6500770411094303,0.5441311675843854,0.4554517523514668,0.3812248058513428
gru_td1.0,0.7825929348184927,0.6491697557393098,0.19459427016227784,1.0,0.0,1.0,0.16269564906426953,0.6491697557393098,0.5435526609764095,0.45511900799824173,0.38107312559048134
shuf_10,0.7848245908224873,0.6469235267540314,0.1970316671607271,1.0,0.0,1.0,0.16514973482625706,0.6469235267540314,0.5400842778577362,0.4508895025857005,0.3764252207977291
shuf_30,0.7837931170820708,0.6435505968812545,0.19712912817993228,1.0,0.0,1.0,0.16603809296724548,0.6435505968812545,0.5366966830471585,0.44758458929216205,0.37326849764456366
shuf_50,0.7829154659236434,0.6373630671239618,0.19824068393680028,1.0,0.0,1.0,0.16895390700678783,0.6373630671239618,0.5296780867515389,0.4401869045389862,0.3658156072039005
shuf_80,0.7795708666663573,0.6277518556046562,0.19902180275091677,1.0,0.0,1.0,0.17209740962252282,0.6277518556046562,0.5197173873693629,0.43027537126731025,0.3562260944478368
dup_20,0.7817462951378583,0.6471579653496334,0.19785686368825553,1.0,0.0,1.0,0.16606737529493326,0.6471579653496334,0.5396861406428104,0.45006187978320666,0.3753212846873057
dup_50,0.784092421674023,0.6487223258887957,0.19893541182966362,1.0,0.0,1.0,0.16635215452816568,0.6487223258887957,0.5408059692866718,0.45084173111414094,0.37584323779209566
dup_80,0.7771172614876054,0.6443941843521634,0.19689755582388024,1.0,0.0,1.0,0.16596174469709418,0.6443941843521634,0.5374494012444174,0.44825336092748524,0.37386045108162347
trunc_20,0.7826671195801819,0.6492755922040887,0.19552697786009857,1.0,0.0,1.0,0.16358784524311384,0.6492755922040887,0.5430619971064752,0.4542236551664047,0.37991818615928136
trunc_50,0.7835279632509304,0.6471891102050247,0.1964870463794872,1.0,0.0,1.0,0.16460043648918035,0.6471891102050247,0.5406615001742334,0.4516683812526595,0.3773235685501103
trunc_80,0.7774218656201802,0.645230051264557,0.1946145034733896,1.0,0.0,1.0,0.1634608666282424,0.645230051264557,0.5397601879102673,0.451530519823032,0.37772294974365833
