run,checkpoint_dir,status,use_also,also_grouping_mode,batch_size,also_pi_lr,also_pi_decay,also_loss_scale,also_alpha,also_mode,overall_dataset_auc,student_stats_mean,student_stats_std,student_stats_range,validauc,best_epoch
akt_also_full_20260713_225853_42622,saved_model/akt_also_full_20260713_225853_42622/s1_pilr1e3_bs64/assist2009_akt_qid_saved_model/akt_also_full_20260713_225853_42622/s1_pilr1e3_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.001_0.01_None_0,evaluated,1,student_id,64,0.001,0.01,,1.0,optimistic,0.6895963594080008,0.5930412190176569,0.208251769679358,1.0,,
akt_also_full_20260713_225853_42622,saved_model/akt_also_full_20260713_225853_42622/s1_pilr3e5_bs64/assist2009_akt_qid_saved_model/akt_also_full_20260713_225853_42622/s1_pilr3e5_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_3e-05_0.01_None_0,evaluated,1,student_id,64,3e-05,0.01,,1.0,optimistic,0.6928703697076843,0.5937577305492759,0.21251359465897948,1.0,,
akt_also_stage1_pi_lr_auto_20260713_232100_42622,saved_model/akt_also_stage1_pi_lr_auto_20260713_232100_42622/pilr1e4_bs64/assist2009_akt_qid_saved_model/akt_also_stage1_pi_lr_auto_20260713_232100_42622/pilr1e4_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0001_0.01_None_0,evaluated,1,student_id,64,0.0001,0.01,,1.0,optimistic,0.6928184294877754,0.5932016394817464,0.20861606025522997,1.0,,
akt_also_stage1_pi_lr_auto_20260713_232100_42622,saved_model/akt_also_stage1_pi_lr_auto_20260713_232100_42622/pilr3e4_bs64/assist2009_akt_qid_saved_model/akt_also_stage1_pi_lr_auto_20260713_232100_42622/pilr3e4_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0003_0.01_None_0,evaluated,1,student_id,64,0.0003,0.01,,1.0,optimistic,0.6936929851364178,0.5923758772130912,0.2089759613766351,1.0,,
akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch,saved_model/akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch/also_bs32/assist2009_akt_qid_saved_model/akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch/also_bs32_42_0_0.2_256_512_8_4_0.0001_32_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0001_0.01_None_0,evaluated,1,student_id,32,0.0001,0.01,,1.0,optimistic,0.6902979673359706,0.5860492247483965,0.20848728900017272,1.0,,
akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch,saved_model/akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch/baseline_bs32/assist2009_akt_qid_saved_model/akt_also_stage2_batch_tsp_20260714_010300_54754_stage2_batch/baseline_bs32_42_0_0.2_256_512_8_4_0.0001_32_100_0_0_0_none_None_optimistic_1.0_None_None_0.001_0.01_None_0,evaluated,0,none,32,0.001,0.01,,1.0,optimistic,0.7625229299755614,0.6303275735781703,0.20365896689093613,1.0,,
akt_also_stage2_batch_tsp_20260714_022000_s2,saved_model/akt_also_stage2_batch_tsp_20260714_022000_s2/also_bs128/assist2009_akt_qid_saved_model/akt_also_stage2_batch_tsp_20260714_022000_s2/also_bs128_42_0_0.2_256_512_8_4_0.0001_128_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0001_0.01_None_0,evaluated,1,student_id,128,0.0001,0.01,,1.0,optimistic,0.6905246717746972,0.5867775193027578,0.20777724009872034,1.0,,
akt_also_stage2_batch_tsp_20260714_022000_s2,saved_model/akt_also_stage2_batch_tsp_20260714_022000_s2/baseline_bs128/assist2009_akt_qid_saved_model/akt_also_stage2_batch_tsp_20260714_022000_s2/baseline_bs128_42_0_0.2_256_512_8_4_0.0001_128_100_0_0_0_none_None_optimistic_1.0_None_None_0.001_0.01_None_0,evaluated,0,none,128,0.001,0.01,,1.0,optimistic,0.7550637737784238,0.614480334344305,0.20310340772441124,1.0,,
akt_also_stage3_pi_decay_tsp_20260714_022000_s3,saved_model/akt_also_stage3_pi_decay_tsp_20260714_022000_s3/pidecay1e1_bs64/assist2009_akt_qid_saved_model/akt_also_stage3_pi_decay_tsp_20260714_022000_s3/pidecay1e1_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0001_0.1_None_0,evaluated,1,student_id,64,0.0001,0.1,,1.0,optimistic,0.6929633256067226,0.5933402968585947,0.21201937017084022,1.0,,
akt_also_stage3_pi_decay_tsp_20260714_022000_s3,saved_model/akt_also_stage3_pi_decay_tsp_20260714_022000_s3/pidecay1e3_bs64/assist2009_akt_qid_saved_model/akt_also_stage3_pi_decay_tsp_20260714_022000_s3/pidecay1e3_bs64_42_0_0.2_256_512_8_4_0.0001_64_100_0_0_1_student_id_None_optimistic_1.0_None_None_0.0001_0.001_None_0,evaluated,1,student_id,64,0.0001,0.001,,1.0,optimistic,0.6900743628532838,0.5901633259965784,0.21126980282055322,1.0,,
