model,dataset,n_folds,metric,mean,std,mean±std
iekt,nips_task34,1,overall_dataset_auc,0.804507,0.0,0.8045
iekt,nips_task34,1,student_stats_mean,0.71793,0.0,0.7179
iekt,nips_task34,1,student_stats_std,0.09368,0.0,0.0937
iekt,nips_task34,1,student_stats_max,0.988723,0.0,0.9887
iekt,nips_task34,1,student_stats_min,0.446875,0.0,0.4469
iekt,nips_task34,1,student_stats_range,0.541848,0.0,0.5418
iekt,nips_task34,1,student_stats_epi,14.143556,0.0,14.1436
iekt,nips_task34,1,student_stats_gini_coefficient,0.072887,0.0,0.0729
iekt,nips_task34,1,student_stats_average_auc,0.71793,0.0,0.7179
iekt,nips_task34,1,student_stats_eawi_alpha_10,0.665602,0.0,0.6656
iekt,nips_task34,1,student_stats_eawi_alpha_20,0.617088,0.0,0.6171
iekt,nips_task34,1,student_stats_eawi_alpha_30,0.57211,0.0,0.5721
iekt,nips_task34,1,student_stats_iqr,0.121229,0.0,0.1212
iekt,nips_task34,1,student_stats_q1,0.662439,0.0,0.6624
iekt,nips_task34,1,student_stats_q3,0.783667,0.0,0.7837
iekt,peiyou,1,overall_dataset_auc,0.826437,0.0,0.8264
iekt,peiyou,1,student_stats_mean,0.769843,0.0,0.7698
iekt,peiyou,1,student_stats_std,0.060769,0.0,0.0608
iekt,peiyou,1,student_stats_max,0.978795,0.0,0.9788
iekt,peiyou,1,student_stats_min,0.46594,0.0,0.4659
iekt,peiyou,1,student_stats_range,0.512855,0.0,0.5129
iekt,peiyou,1,student_stats_epi,24.701762,0.0,24.7018
iekt,peiyou,1,student_stats_gini_coefficient,0.044176,0.0,0.0442
iekt,peiyou,1,student_stats_average_auc,0.769843,0.0,0.7698
iekt,peiyou,1,student_stats_eawi_alpha_10,0.735834,0.0,0.7358
iekt,peiyou,1,student_stats_eawi_alpha_20,0.703328,0.0,0.7033
iekt,peiyou,1,student_stats_eawi_alpha_30,0.672257,0.0,0.6723
iekt,peiyou,1,student_stats_iqr,0.080739,0.0,0.0807
iekt,peiyou,1,student_stats_q1,0.729795,0.0,0.7298
iekt,peiyou,1,student_stats_q3,0.810533,0.0,0.8105
lefokt_akt,assist2009,1,overall_dataset_auc,0.733468,0.0,0.7335
lefokt_akt,assist2009,1,student_stats_mean,0.599444,0.0,0.5994
lefokt_akt,assist2009,1,student_stats_std,0.212857,0.0,0.2129
lefokt_akt,assist2009,1,student_stats_max,1.0,0.0,1.0000
lefokt_akt,assist2009,1,student_stats_min,0.0,0.0,0.0000
lefokt_akt,assist2009,1,student_stats_range,1.0,0.0,1.0000
lefokt_akt,assist2009,1,student_stats_epi,2.816186,0.0,2.8162
lefokt_akt,assist2009,1,student_stats_gini_coefficient,0.191384,0.0,0.1914
lefokt_akt,assist2009,1,student_stats_average_auc,0.599444,0.0,0.5994
lefokt_akt,assist2009,1,student_stats_eawi_alpha_10,0.48472,0.0,0.4847
lefokt_akt,assist2009,1,student_stats_eawi_alpha_20,0.391952,0.0,0.3920
lefokt_akt,assist2009,1,student_stats_eawi_alpha_30,0.316939,0.0,0.3169
lefokt_akt,assist2009,1,student_stats_iqr,0.237662,0.0,0.2377
lefokt_akt,assist2009,1,student_stats_q1,0.5,0.0,0.5000
lefokt_akt,assist2009,1,student_stats_q3,0.737662,0.0,0.7377
lefokt_akt,nips_task34,1,overall_dataset_auc,0.801337,0.0,0.8013
lefokt_akt,nips_task34,1,student_stats_mean,0.710197,0.0,0.7102
lefokt_akt,nips_task34,1,student_stats_std,0.09643,0.0,0.0964
lefokt_akt,nips_task34,1,student_stats_max,0.977489,0.0,0.9775
lefokt_akt,nips_task34,1,student_stats_min,0.44555,0.0,0.4456
lefokt_akt,nips_task34,1,student_stats_range,0.531938,0.0,0.5319
lefokt_akt,nips_task34,1,student_stats_epi,13.845412,0.0,13.8454
lefokt_akt,nips_task34,1,student_stats_gini_coefficient,0.075974,0.0,0.0760
lefokt_akt,nips_task34,1,student_stats_average_auc,0.710197,0.0,0.7102
lefokt_akt,nips_task34,1,student_stats_eawi_alpha_10,0.656241,0.0,0.6562
lefokt_akt,nips_task34,1,student_stats_eawi_alpha_20,0.606384,0.0,0.6064
lefokt_akt,nips_task34,1,student_stats_eawi_alpha_30,0.560315,0.0,0.5603
lefokt_akt,nips_task34,1,student_stats_iqr,0.125666,0.0,0.1257
lefokt_akt,nips_task34,1,student_stats_q1,0.653395,0.0,0.6534
lefokt_akt,nips_task34,1,student_stats_q3,0.77906,0.0,0.7791
lefokt_akt,peiyou,1,overall_dataset_auc,0.822001,0.0,0.8220
lefokt_akt,peiyou,1,student_stats_mean,0.763949,0.0,0.7639
lefokt_akt,peiyou,1,student_stats_std,0.061233,0.0,0.0612
lefokt_akt,peiyou,1,student_stats_max,0.973682,0.0,0.9737
lefokt_akt,peiyou,1,student_stats_min,0.502617,0.0,0.5026
lefokt_akt,peiyou,1,student_stats_range,0.471065,0.0,0.4711
lefokt_akt,peiyou,1,student_stats_epi,26.484867,0.0,26.4849
lefokt_akt,peiyou,1,student_stats_gini_coefficient,0.044754,0.0,0.0448
