task_id,model,dataset,fold,overall_dataset_auc,student_stats_mean,student_stats_std,student_stats_max,student_stats_min,student_stats_range,student_stats_epi,student_stats_gini_coefficient,student_stats_average_auc,student_stats_eawi_alpha_10,student_stats_eawi_alpha_20,student_stats_eawi_alpha_30,student_stats_iqr,student_stats_q1,student_stats_q3
0,lefokt_akt,assist2009,1,0.7426129236775889,0.5992434829728589,0.21238597059247105,1.0,0.0,1.0,2.8214833649379556,0.19193892118787687,0.5992434829728589,0.48422533532218254,0.3912836468486049,0.3161810857940255,0.23374716107800564,0.5,0.7337471610780056
1,lefokt_akt,nips_task34,1,0.7997707852836016,0.7124712249070961,0.09432134413071273,0.9754170404719513,0.445578231292517,0.5298388091794344,14.256521778348864,0.07386272858302245,0.7124712249070961,0.6598461561985698,0.6111081186567241,0.5659700055535011,0.12174839373097945,0.6573200019060528,0.7790683956370322
2,lefokt_akt,peiyou,2,0.8158140067303395,0.7628414658193426,0.0570010999163247,0.9780334375988575,0.5321267713705629,0.44590666622829467,30.012839854426304,0.04180813356556598,0.7628414658193426,0.7309484879270154,0.7003888959142143,0.6711069434059934,0.07352033214793674,0.7266881444495858,0.8002084765975226
4,robustkt,nips_task34,1,0.8061678101606322,0.7155144992043002,0.0980666358112659,0.9934371522372877,0.307843137254902,0.6855940149823857,10.6421688210635,0.07595711110987782,0.7155144992043002,0.6611660848875106,0.6109458191156271,0.5645401396509462,0.12179355777181111,0.663388298748353,0.7851818565201641
7,iekt,peiyou,1,0.8267767680382928,0.7700827440429158,0.0605565626603792,0.9729569432293574,0.47353284822752223,0.4994240950018352,25.462830847591334,0.04399231685915578,0.7700827440429158,0.7362050199592116,0.7038176554478649,0.6728550861383342,0.07979128289895221,0.7309488333120822,0.8107401162110344
8,iekt,assist2009,1,0.7698175256844836,0.6379349606497157,0.20352472367608182,1.0,0.0,1.0,3.1344347218720023,0.1738412953250941,0.6379349606497157,0.5270355207572062,0.43541498314643795,0.3597218784723072,0.269535674992869,0.5,0.769535674992869
10,qikt_mamba,peiyou,3,0.8249894411858602,0.7716420098275316,0.06080808673353848,0.9906167530055713,0.46574306841863156,0.5248736845869397,24.176850517377108,0.04408495205292918,0.7716420098275316,0.737624208822259,0.7051060809432499,0.6740215131726379,0.07810447149708799,0.7332908448665484,0.8113953163636364
11,qikt_mamba,assist2009,4,0.7782896210647388,0.6477387508818506,0.2004026800869741,1.0,0.0,1.0,3.2321860695711964,0.1670751439680544,0.6477387508818506,0.5395177058245777,0.44937770745062194,0.37429786228227496,0.2788775213357214,0.5,0.7788775213357214
12,qikt_mamba,nips_task34,4,0.8055278685615056,0.7193804172667027,0.09325856204367043,0.9914818810337497,0.4438202247191011,0.5476616563146486,14.085023020036948,0.07227334258245464,0.7193804172667027,0.6673883899224771,0.619154000182057,0.574405671015602,0.11529106980924542,0.6682064189827944,0.7834974887920398
13,qikt_mamba,peiyou,4,0.825426679044462,0.7699549710840736,0.060560779358421996,0.9851431922588212,0.5381904381871985,0.4469527540716227,28.445413682243423,0.044064671157085615,0.7699549710840736,0.7360271584774906,0.7035943637764959,0.6725907095087058,0.07813918969484135,0.7313031173651041,0.8094423070599455
